Track,Submission ID,Submission Title,Authors
Area A (Information Extraction and Question Answering) [LONG],587-TACL,Joint Multitask Learning for Community Question Answering Using Task-Specific Embeddings,"Shafiq Joty, Lluís Màrquez and Preslav Nakov"
Area A (Information Extraction and Question Answering) [LONG],1017,What Makes Reading Comprehension Questions Easier?,"Saku Sugawara, Kentaro Inui, Satoshi Sekine and Akiko Aizawa"
Area A (Information Extraction and Question Answering) [LONG],1989,Commonsense for Generative Multi-Hop Question Answering Tasks,"Lisa Bauer, Yicheng Wang and Mohit Bansal"
Area A (Information Extraction and Question Answering) [LONG],2043,Open Domain Question Answering Using Early Fusion of Knowledge Bases and Text,"Haitian Sun, Bhuwan Dhingra, Manzil Zaheer, Kathryn Mazaitis, Ruslan Salakhutdinov and William Cohen"
Area A (Information Extraction and Question Answering) [LONG],2134,A Nil-Aware Answer Extraction Framework for Question Answering,Souvik Kundu and Hwee Tou Ng
Area A (Information Extraction and Question Answering) [LONG],628,Large-scale Cloze Test Dataset Created by Teachers,"Qizhe Xie, Guokun Lai, Zihang Dai and Eduard Hovy"
Area A (Information Extraction and Question Answering) [LONG],1849,emrQA: A Large Corpus for Question Answering on Electronic Medical Records,"Anusri Pampari, Preethi Raghavan, Jennifer Liang and Jian Peng"
Area A (Information Extraction and Question Answering) [LONG],2015,"HotpotQA: A Dataset for Diverse, Explainable Multi-hop Question Answering","Zhilin Yang, Peng Qi, Saizheng Zhang, Yoshua Bengio, William Cohen, Ruslan Salakhutdinov and Christopher D. Manning"
Area A (Information Extraction and Question Answering) [LONG],2133,Can a Suit of Armor Conduct Electricity? A New Dataset for Open Book Question Answering,"Peter Clark, Tushar Khot, Todor Mihaylov and Ashish Sabharwal"
Area A (Information Extraction and Question Answering) [LONG],2312,Evaluating Theory of Mind in Question Answering,"Aida Nematzadeh, Kaylee Burns, Erin Grant and Tom Griffiths"
Area A (Information Extraction and Question Answering) [LONG],224,Automatic Event Salience Identification,"Zhengzhong Liu, Chenyan Xiong, Teruko Mitamura and Eduard Hovy"
Area A (Information Extraction and Question Answering) [LONG],766,Temporal Information Extraction by Predicting Relative Time-lines,Artuur Leeuwenberg and Marie-Francine Moens
Area A (Information Extraction and Question Answering) [LONG],1177,Jointly Multiple Events Extraction via Attention-based Graph Information Aggregation,"Xiao Liu, Zhunchen Luo and Heyan Huang"
Area A (Information Extraction and Question Answering) [LONG],1613,RESIDE: Improving Distantly-Supervised Neural Relation Extraction using Side Information,"Shikhar Vashishth, Rishabh Joshi, Sai Suman Prayaga, Chiranjib Bhattacharyya and Partha Talukdar"
Area A (Information Extraction and Question Answering) [LONG],1924,Collective Event Detection via a Hierarchical and Bias Tagging Networks with Gated Multi-level Attention Mechanisms,"Yubo Chen, Hang Yang, Kang Liu and Jun Zhao"
Area A (Information Extraction and Question Answering) [LONG],1000,Knowledge Graph Embedding with Hierarchical Relation Structure,"Zhao Zhang, Fuzhen Zhuang, Meng Qu, Fen Lin and Qing He"
Area A (Information Extraction and Question Answering) [LONG],1331,Embedding Multimodal Relational Data for Knowledge Base Completion,"Pouya Pezeshkpour, Liyan Chen and Sameer Singh"
Area A (Information Extraction and Question Answering) [LONG],1947,"Multi-Task Identification of Entities, Relations, and Coreference for Scientific Knowledge Graph Construction","Yi Luan, Luheng He, Mari Ostendorf and Hannaneh Hajishirzi"
Area A (Information Extraction and Question Answering) [LONG],2201,Multi-Hop Knowledge Graph Reasoning with Reward Shaping,"Xi Victoria Lin, Richard Socher and Caiming Xiong"
Area A (Information Extraction and Question Answering) [LONG],392,PreCo: A Large-scale Dataset in Preschool Vocabulary for Coreference Resolution,"Hong Chen, Zhenhua Fan, Hao Lu, Alan Yuille and Shu Rong"
Area A (Information Extraction and Question Answering) [LONG],627,Adversarial Transfer Learning for Chinese Named Entity Recognition with Self-Attention Mechanism,"Pengfei Cao, Yubo Chen, Kang Liu and Jun Zhao"
Area A (Information Extraction and Question Answering) [LONG],1286,Using Linguistic Features to Improve Generalization in Neural Coreference Resolvers,Nafise Sadat Moosavi and Michael Strube
Area A (Information Extraction and Question Answering) [LONG],1574,Neural Segmental Hypergraphs for Overlapping Mention Recognition,Bailin Wang and Wei Lu
Area A (Information Extraction and Question Answering) [LONG],1702,Characterizing Interactions and Relationships between People,Farzana Rashid and Eduardo Blanco
Area A (Information Extraction and Question Answering) [LONG],1650,"TVQA: Localized, Compositional Video Question Answering","Jie Lei, Licheng Yu, Mohit Bansal and Tamara Berg"
Area A (Information Extraction and Question Answering) [LONG],1504,Deep Probabilistic Logic: A Unifying Framework for Indirect Supervision,Hai Wang and Hoifung Poon
