Track	Title	Authors	Acceptance_Status
Computational Social Science and Cultural Analytics	How Does Counterfactually Augmented Data Impact Models for Social Computing Constructs?	Indira Sen, Mattia Samory, Fabian Flöck, Claudia Wagner and Isabelle Augenstein	Accept-Oral
Computational Social Science and Cultural Analytics	Mining the Cause of Political Decision-Making from Social Media: A Case Study of COVID-19 Policies across the US States	Zhijing Jin, Zeyu Peng, Tejas Vaidhya, Bernhard Schoelkopf and Rada Mihalcea	Accept-Findings
Computational Social Science and Cultural Analytics	{WHOS}e {H}eritage: {C}lassification of {UNESCO} {W}orld {H}eritage Statements of "{O}utstanding {U}niversal {V}alue" with Soft Labels	Nan Bai, Renqian Luo, Pirouz Nourian and Ana Pereira Roders	Accept-Findings
Computational Social Science and Cultural Analytics	To Protect and To Serve? Analyzing Entity-Centric Framing of Police Violence	Caleb Ziems and Diyi Yang	Accept-Findings
Computational Social Science and Cultural Analytics	An unsupervised framework for tracing textual sources of moral change	Aida Ramezani, Zining Zhu, Frank Rudzicz and Yang Xu	Accept-Findings
Computational Social Science and Cultural Analytics	Inconsistency Matters: A Knowledge-guided Dual-inconsistency Network for Multi-modal Rumor Detection	Mengzhu Sun, Xi Zhang, Jianqiang Ma and Yazheng Liu	Accept-Findings
Computational Social Science and Cultural Analytics	Re-entry Prediction for Online Conversations via Self-Supervised Learning	Lingzhi Wang, Xingshan Zeng, Huang Hu, Kam-Fai Wong and Daxin Jiang	Accept-Findings
Computational Social Science and Cultural Analytics	Controlled Neural Sentence-Level Reframing of News Articles	Wei-Fan Chen, Khalid Al Khatib, Benno Stein and Henning Wachsmuth	Accept-Findings
Computational Social Science and Cultural Analytics	{LMSOC}: An Approach for Socially Sensitive Pretraining	Vivek Kulkarni, Shubhanshu Mishra and Aria Haghighi	Accept-Findings
Computational Social Science and Cultural Analytics	Modeling Users and Online Communities for Abuse Detection: A Position on Ethics and Explainability	Pushkar Mishra, Helen Yannakoudakis and Ekaterina Shutova	Accept-Findings
Computational Social Science and Cultural Analytics	Adapting Entities across Languages and Cultures	Denis Peskov, Viktor Hangya, Jordan Boyd-Graber and Alexander Fraser	Accept-Findings
Computational Social Science and Cultural Analytics	Predicting Anti-Asian Hateful Users on Twitter during COVID-19	Jisun An, Haewoon Kwak, Claire Seungeun Lee, Bogang Jun and Yong-Yeol Ahn	Accept-Findings
Computational Social Science and Cultural Analytics	Narrative Theory for Computational Narrative Understanding	Andrew Piper, Richard Jean So and David Bamman	Accept-Oral
Computational Social Science and Cultural Analytics	(Mis)alignment Between Stance Expressed in Social Media Data and Public Opinion Surveys	Kenneth Joseph, Sarah Shugars, Ryan Gallagher, Jon Green, Alexi Quintana Mathé, Zijian An and David Lazer	Accept-Oral
Computational Social Science and Cultural Analytics	Using Sociolinguistic Variables to Reveal Changing Attitudes Towards Sexuality and Gender	Sky CH-Wang and David Jurgens	Accept-Poster
Computational Social Science and Cultural Analytics	Classifying Dyads for Militarized Conflict Analysis	Niklas Stoehr, Lucas Torroba Hennigen, Samin Ahbab, Robert West and Ryan Cotterell	Accept-Poster
Computational Social Science and Cultural Analytics	Identifying Morality Frames in Political Tweets using Relational Learning	Shamik Roy, Maria Leonor Pacheco and Dan Goldwasser	Accept-Poster
Computational Social Science and Cultural Analytics	Measuring Sentence-Level and Aspect-Level (Un)certainty in Science Communications	Jiaxin Pei and David Jurgens	Accept-Poster
Computational Social Science and Cultural Analytics	Assessing the Reliability of Word Embedding Gender Bias Measures	Yupei Du, Qixiang Fang and Dong Nguyen	Accept-Poster
Computational Social Science and Cultural Analytics	Rumor Detection on Twitter with Claim-Guided Hierarchical Graph Attention Networks	Hongzhan Lin, Jing Ma, Mingfei Cheng, Zhiwei Yang, Liangliang Chen and Guang Chen	Accept-Poster
Computational Social Science and Cultural Analytics	Learning Bill Similarity with Annotated and Augmented Corpora of Bills	Jiseon Kim, Elden Griggs, In Song Kim and Alice Oh	Accept-Poster
Computational Social Science and Cultural Analytics	Point-of-Interest Type Prediction using Text and Images	Danae Sánchez Villegas and Nikolaos Aletras	Accept-Poster
Computational Social Science and Cultural Analytics	Come hither or go away? Recognising pre-electoral coalition signals in the news	Ines Rehbein, Simone Paolo Ponzetto, Anna Adendorf, Oke Bahnsen, Lukas Stoetzer and Heiner Stuckenschmidt	Accept-Poster
Computational Social Science and Cultural Analytics	SWEAT: Scoring Polarization of Topics across Different Corpora	Federico Bianchi, Marco Marelli, Paolo Nicoli and Matteo Palmonari	Accept-Poster
Computational Social Science and Cultural Analytics	#HowYouTagTweets: Learning User Hashtagging Preferences via Personalized Topic Attention	Yuji Zhang, Yubo Zhang, Chunpu Xu, Jing Li, Ziyan Jiang and Baolin Peng	Accept-Poster
Computational Social Science and Cultural Analytics	"So You Think You're Funny?": Rating the Humour Quotient in Standup Comedy	Anirudh Mittal, Pranav Jeevan P, Prerak Gandhi, Diptesh Kanojia and Pushpak Bhattacharyya	Accept-Poster
Computational Social Science and Cultural Analytics	Aligning Multidimensional Worldviews and Discovering Ideological Differences	Jeremiah Milbauer, Adarsh Mathew and James Evans	Accept-Poster
Computational Social Science and Cultural Analytics	"Was it "stated" or was it "claimed"?: How linguistic bias affects generative language models	Roma Patel and Ellie Pavlick	Accept-Poster
Computational Social Science and Cultural Analytics	Detecting Polarized Topics Using Partisanship-aware Contextualized Topic Embeddings	Zihao He, Negar Mokhberian, António Câmara, Andres Abeliuk and Kristina Lerman	Accept-Findings
Computational Social Science and Cultural Analytics	Perceived and Intended Sarcasm Detection with Graph Attention Networks	Joan Plepi and Lucie Flek	Accept-Findings
Computational Social Science and Cultural Analytics	Latent Hatred: A Benchmark for Understanding Implicit Hate Speech	Mai ElSherief, Caleb Ziems, David Muchlinski, Vaishnavi Anupindi, Jordyn Seybolt, Munmun De Choudhury and Diyi Yang	Accept-Oral
Computational Social Science and Cultural Analytics	Idiosyncratic but not Arbitrary: Learning Idiolects in Online Registers Reveals Distinctive yet Consistent Individual Styles	Jian Zhu and David Jurgens	Accept-Oral
Dialog and Interactive Systems	A Model of Cross-Lingual Knowledge-Grounded Response Generation for Open-Domain Dialogue Systems	San Kim, Jin Yea Jang, Minyoung Jung and Saim Shin	Accept-Findings
Dialog and Interactive Systems	Improving Empathetic Response Generation by Recognizing Emotion Cause in Conversations	Jun Gao, Yuhan Liu, Haolin Deng, Wei Wang, Yu Cao, Jiachen Du and Ruifeng Xu	Accept-Findings
Dialog and Interactive Systems	Learning to Ground Visual Objects for Visual Dialog	Feilong Chen, Xiuyi Chen, Can Xu and Daxin Jiang	Accept-Findings
Dialog and Interactive Systems	KERS: A Knowledge-Enhanced Framework for Recommendation Dialog Systems with Multiple Subgoals	Jun Zhang, Yan Yang, Chencai Chen, Liang He and Zhou Yu	Accept-Findings
