,id,title,area,interpretability,doi,source
0,21,Pre-training Multi-party Dialogue Models with Latent Discourse Inference,Virtual Poster,,10.18653/v1/2023.acl-long.533,ACL2023
1,23,Dual-Gated Fusion with Prefix-Tuning for Multi-Modal Relation Extraction,Virtual Poster,,10.18653/v1/2023.findings-acl.572,ACL2023
2,25,Aerial Vision-and-Dialog Navigation,Virtual Poster,,10.18653/v1/2023.findings-acl.190,ACL2023
3,34,Fixing MoE Over-Fitting on Low-Resource Languages in Multilingual Machine Translation,Virtual Poster,,10.18653/v1/2023.findings-acl.897,ACL2023
4,35,A Survey of Deep Learning for Mathematical Reasoning,Posters,,10.18653/v1/2023.acl-long.817,ACL2023
5,44,Dynamic Routing Transformer Network for Multimodal Sarcasm Detection,Virtual Poster,,10.18653/v1/2023.acl-long.139,ACL2023
6,50,"Conjunct Lengths in English, Dependency Length Minimization, and Dependency Structure of Coordination",Virtual Poster,,10.18653/v1/2023.acl-long.864,ACL2023
7,51,Pivotal Role of Language Modeling in Recommender Systems: Enriching Task-specific and Task-agnostic Representation Learning,Posters,,10.18653/v1/2023.acl-long.64,ACL2023
8,52,AMR-TST: Abstract Meaning Representation-based Text Style Transfer,Virtual Poster,,10.18653/v1/2023.findings-acl.260,ACL2023
9,57,FC-KBQA: A Fine-to-Coarse Composition Framework for Knowledge Base Question Answering,Posters,,10.18653/v1/2023.acl-long.57,ACL2023
10,60,Operator Selection and Ordering in a Pipeline Approach to Efficiency Optimizations for Transformers,,,10.18653/v1/2023.findings-acl.180,ACL2023
11,63,MUSTIE: Multimodal Structural Transformer for Web Information Extraction,Posters,,10.18653/v1/2023.acl-long.135,ACL2023
12,64,Did the Models Understand Documents? Benchmarking Models for Language Understanding in Document-Level Relation Extraction,Posters,,10.18653/v1/2023.acl-long.354,ACL2023
13,67,Hybrid and Collaborative Passage Reranking,,,10.18653/v1/2023.findings-acl.880,ACL2023
14,68,Enhancing Event Causality Identification with Counterfactual Reasoning,Virtual Poster,,10.18653/v1/2023.acl-short.83,ACL2023
15,69,Word-level Prefix/Suffix Sense Detection: A Case Study on Negation Sense with Few-shot Learning,,,10.18653/v1/2023.findings-acl.484,ACL2023
16,76,UniSumm and SummZoo: Unified Model and Diverse Benchmark for Few-Shot Summarization,Posters,,10.18653/v1/2023.acl-long.718,ACL2023
17,85,Revisiting Cross-Lingual Summarization: A Corpus-based Study and A New Benchmark with Improved Annotation,Virtual Poster,,10.18653/v1/2023.acl-long.519,ACL2023
18,88,Extracting Shopping Interest-Related Product Types from the Web,,,10.18653/v1/2023.findings-acl.474,ACL2023
19,91,Reasoning with Language Model Prompting: A Survey,Posters,,10.18653/v1/2023.acl-long.294,ACL2023
20,98,Search-Oriented Conversational Query Editing,,,10.18653/v1/2023.findings-acl.256,ACL2023
21,104,Investigating Glyph-Phonetic Information for Chinese Spell Checking: What Works and What's Next?,,,,ACL2023
22,106,QAP: A Quantum-Inspired Adaptive-Priority-Learning Model for Multimodal Emotion Recognition,Virtual Poster,,10.18653/v1/2023.findings-acl.772,ACL2023
23,110,MVP: Multi-task Supervised Pre-training for Natural Language Generation,Virtual Poster,,10.18653/v1/2023.findings-acl.558,ACL2023
24,115,Prompts Can Play Lottery Tickets Well: Achieving Lifelong Information Extraction via Lottery Prompt Tuning,Posters,,10.18653/v1/2023.acl-long.16,ACL2023
25,116,Multi-Level Knowledge Distillation for Out-of-Distribution Detection in Text,Virtual Poster,,10.18653/v1/2023.acl-long.403,ACL2023
26,118,Finding the Pillars of Strength for Multi-Head Attention,Posters,,10.18653/v1/2023.acl-long.812,ACL2023
27,120,PRAM: An End-to-end Prototype-based Representation Alignment Model for Zero-resource Cross-lingual Named Entity Recognition,,,10.18653/v1/2023.findings-acl.201,ACL2023
28,129,Improving Gradient Trade-offs between Tasks in Multi-task Text Classification,Virtual Poster,,10.18653/v1/2023.acl-long.144,ACL2023
29,133,"Divide, Conquer, and Combine: Mixture of Semantic-Independent Experts for Zero-Shot Dialogue State Tracking",Dialogue and Interactive Systems,False,10.18653/v1/2023.acl-long.114,ACL2023
30,138,Class based Influence Functions for Error Detection,Posters,,10.18653/v1/2023.acl-short.104,ACL2023
31,140,Large Language Models Meet NL2Code: A Survey,Virtual Poster,,10.18653/v1/2023.acl-long.411,ACL2023
32,145,Misleading Relation Classifiers by Substituting Words in Texts,,,10.18653/v1/2023.findings-acl.232,ACL2023
33,150,Meta-training with Demonstration Retrieval for Efficient Few-shot Learning,,,10.18653/v1/2023.findings-acl.376,ACL2023
34,153,Kanbun-LM: Reading and Translating Classical Chinese in Japanese Methods by Language Models,,,10.18653/v1/2023.findings-acl.545,ACL2023
35,157,TranSFormer: Slow-Fast Transformer for Machine Translation,Virtual Poster,,10.18653/v1/2023.findings-acl.430,ACL2023
36,158,Enhancing Cross-lingual Transfer via Phonemic Transcription Integration,,,10.18653/v1/2023.findings-acl.583,ACL2023
37,159,Disentangling Reasoning Capabilities from Language Models with Compositional Reasoning Transformers,,,10.18653/v1/2023.findings-acl.480,ACL2023
38,162,ERNIE-Code: Beyond English-Centric Cross-lingual Pretraining for Programming Languages,,,10.18653/v1/2023.findings-acl.676,ACL2023
39,164,Zemi: Learning Zero-Shot Semi-Parametric Language Models from Multiple Tasks,,,10.18653/v1/2023.findings-acl.246,ACL2023
40,165,An Extensive Exploration of Back-Translation in 60 Languages,,,10.18653/v1/2023.findings-acl.518,ACL2023
41,171,Adversarial Knowledge Stimulated Contrastive Prompting for Few-shot Language Learners,,,10.18653/v1/2023.findings-acl.852,ACL2023
42,176,A Class-Rebalancing Self-Training Framework for Distantly-Supervised Named Entity Recognition,Virtual Poster,,10.18653/v1/2023.findings-acl.703,ACL2023
43,178,Efficient Shapley Values Estimation by Amortization for Text Classification,Interpretability and Analysis of Models for NLP,True,10.18653/v1/2023.acl-long.483,ACL2023
44,181,ColD Fusion: Collaborative Descent for Distributed Multitask Finetuning,Posters,,10.18653/v1/2023.acl-long.46,ACL2023
45,183,Rarely a problem? Language models exhibit inverse scaling in their predictions following few-type quantifiers,,,10.18653/v1/2023.findings-acl.891,ACL2023
46,186,Faithful Question Answering with Monte-Carlo Planning,Virtual Poster,,10.18653/v1/2023.acl-long.218,ACL2023
47,187,Text Augmentation Using Dataset Reconstruction for Low-Resource Classification,Virtual Poster,,10.18653/v1/2023.findings-acl.466,ACL2023
48,194,Language Agnostic Multilingual Information Retrieval with Contrastive Learning,Virtual Poster,,10.18653/v1/2023.findings-acl.581,ACL2023
