	id	title	area	source	year	doi	abstract	semantic_scholar_id	track	citation_count	marius_themes	vagrant_themes
3937	4382	Rethinking the Role of Demonstrations: What Makes In-Context Learning Work?	Language Modeling and Analysis of Language Models	EMNLP	2022	10.18653/v1/2022.emnlp-main.759	Large language models (LMs) are able to in-context learn—perform a new task via inference alone by conditioning on a few input-label pairs (demonstrations) and making predictions for new inputs. However, there has been little understanding of how the model learns and which aspects of the demonstrations contribute to end task performance. In this paper, we show that ground truth demonstrations are in fact not required—randomly replacing labels in the demonstrations barely hurts performance on a range of classification and multi-choce tasks, consistently over 12 different models including GPT-3. Instead, we find that other aspects of the demonstrations are the key drivers of endtask performance, including the fact that they provide a few examples of (1) the label space, (2) the distribution of the input text, and (3) the overall format of the sequence. Together, our analysis provides a new way of understanding how and why in-context learning works, while opening up new questions about how much can be learned from large language models through inference alone.	87e02a265606f31e65986f3c1c448a3e3a3a066e	Interpretability and Analysis	817	in-context learning, analysis, demonstrations, understanding	demonstrations, in-context learning, analysis, understanding
2974		StereoSet: Measuring stereotypical bias in pretrained language models	Interpretability and Analysis of Models for NLP	ACL	2021	10.18653/v1/2021.acl-long.416	A stereotype is an over-generalized belief about a particular group of people, e.g., Asians are good at math or African Americans are athletic. Such beliefs (biases) are known to hurt target groups. Since pretrained language models are trained on large real-world data, they are known to capture stereotypical biases. It is important to quantify to what extent these biases are present in them. Although this is a rapidly growing area of research, existing literature lacks in two important aspects: 1) they mainly evaluate bias of pretrained language models on a small set of artificial sentences, even though these models are trained on natural data 2) current evaluations focus on measuring bias without considering the language modeling ability of a model, which could lead to misleading trust on a model even if it is a poor language model. We address both these problems. We present StereoSet, a large-scale natural English dataset to measure stereotypical biases in four domains: gender, profession, race, and religion. We contrast both stereotypical bias and language modeling ability of popular models like BERT, GPT-2, RoBERTa, and XLnet. We show that these models exhibit strong stereotypical biases. Our data and code are available at https://stereoset.mit.edu.	babeda48b10a4d638252118f2238d05a06f4ec55	Interpretability and Analysis	648	stereotype detection, bias detection, novel dataset, analysis, data analysis	stereotype detection, bias detection, novel dataset, evaluation
1399	main.421	On the Cross-lingual Transferability of Monolingual Representations	Interpretability and Analysis of Models for NLP	ACL	2020	10.18653/v1/2020.acl-main.421	State-of-the-art unsupervised multilingual models (e.g., multilingual BERT) have been shown to generalize in a zero-shot cross-lingual setting. This generalization ability has been attributed to the use of a shared subword vocabulary and joint training across multiple languages giving rise to deep multilingual abstractions. We evaluate this hypothesis by designing an alternative approach that transfers a monolingual model to new languages at the lexical level. More concretely, we first train a transformer-based masked language model on one language, and transfer it to a new language by learning a new embedding matrix with the same masked language modeling objective, freezing parameters of all other layers. This approach does not rely on a shared vocabulary or joint training. However, we show that it is competitive with multilingual BERT on standard cross-lingual classification benchmarks and on a new Cross-lingual Question Answering Dataset (XQuAD). Our results contradict common beliefs of the basis of the generalization ability of multilingual models and suggest that deep monolingual models learn some abstractions that generalize across languages. We also release XQuAD as a more comprehensive cross-lingual benchmark, which comprises 240 paragraphs and 1190 question-answer pairs from SQuAD v1.1 translated into ten languages by professional translators.	9e9d919c1de684ca42c8b581ec62c7aa685f431e	Interpretability and Analysis	631	cross-lingual transfer, multilingual, novel method, novel benchmark, representation learning, analysis	cross-lingual transfer, multilingual, novel method, novel benchmark, representation learning, analysis
1589	tacl.1852	What BERT Is Not: Lessons from a New Suite of Psycholinguistic Diagnostics for Language Models	Interpretability and Analysis of Models for NLP	ACL	2020	10.1162/tacl_a_00298	Pre-training by language modeling has become a popular and successful approach to NLP tasks, but we have yet to understand exactly what linguistic capacities these pre-training processes confer upon models. In this paper we introduce a suite of diagnostics drawn from human language experiments, which allow us to ask targeted questions about information used by language models for generating predictions in context. As a case study, we apply these diagnostics to the popular BERT model, finding that it can generally distinguish good from bad completions involving shared category or role reversal, albeit with less sensitivity than humans, and it robustly retrieves noun hypernyms, but it struggles with challenging inference and role-based event prediction — and, in particular, it shows clear insensitivity to the contextual impacts of negation.	a0e49f65b6847437f262c59d0d399255101d0b75	Interpretability and Analysis	537	psycholinguistics, evaluation, linguistics, diagnostics, negation, novel dataset	psycholinguistics, evaluation, linguistics, diagnostics, negation, novel dataset
1440	main.385	Quantifying Attention Flow in Transformers	Interpretability and Analysis of Models for NLP	ACL	2020	10.18653/v1/2020.acl-main.385	In the Transformer model, “self-attention” combines information from attended embeddings into the representation of the focal embedding in the next layer. Thus, across layers of the Transformer, information originating from different tokens gets increasingly mixed. This makes attention weights unreliable as explanations probes. In this paper, we consider the problem of quantifying this flow of information through self-attention. We propose two methods for approximating the attention to input tokens given attention weights, attention rollout and attention flow, as post hoc methods when we use attention weights as the relative relevance of the input tokens. We show that these methods give complementary views on the flow of information, and compared to raw attention, both yield higher correlations with importance scores of input tokens obtained using an ablation method and input gradients.	76a9f336481b39515d6cea2920696f11fb686451	Interpretability and Analysis	516	attention analysis, explanation, information flow	attention analysis, explanation, information flow
1448	main.408	ERASER: A Benchmark to Evaluate Rationalized NLP Models	Interpretability and Analysis of Models for NLP	ACL	2020	10.18653/v1/2020.acl-main.408	State-of-the-art models in NLP are now predominantly based on deep neural networks that are opaque in terms of how they come to make predictions. This limitation has increased interest in designing more interpretable deep models for NLP that reveal the `reasoning' behind model outputs. But work in this direction has been conducted on different datasets and tasks with correspondingly unique aims and metrics; this makes it difficult to track progress. We propose the Evaluating Rationales And Simple English Reasoning (ERASER\, a benchmark to advance research on interpretable models in NLP. This benchmark comprises multiple datasets and tasks for which human annotations of ``rationales'' (supporting evidence) have been collected. We propose several metrics that aim to capture how well the rationales provided by models align with human rationales, and also how faithful these rationales are (i.e., the degree to which provided rationales influenced the corresponding predictions). Our hope is that releasing this benchmark facilitates progress on designing more interpretable NLP systems. The benchmark, code, and documentation are available at https://www.eraserbenchmark.com/	087dd95e13efd47aef2a6582e6801b39fc0f83d8	Interpretability and Analysis	489	interpretability, rationales, novel benchmark, faithfulness, evidence, reasoning, explanations	interpretability, rationales, novel benchmark, faithfulness, evidence, reasoning, explanations
1387	main.386	Towards Faithfully Interpretable NLP Systems: How Should We Define and Evaluate Faithfulness?	Interpretability and Analysis of Models for NLP	ACL	2020	10.18653/v1/2020.acl-main.386	With the growing popularity of deep-learning based NLP models, comes a need for interpretable systems. But what is interpretability, and what constitutes a high-quality interpretation? In this opinion piece we reflect on the current state of interpretability evaluation research. We call for more clearly differentiating between different desired criteria an interpretation should satisfy, and focus on the faithfulness criteria. We survey the literature with respect to faithfulness evaluation, and arrange the current approaches around three assumptions, providing an explicit form to how faithfulness is "defined" by the community. We provide concrete guidelines on how evaluation of interpretation methods should and should not be conducted. Finally, we claim that the current binary definition for faithfulness sets a potentially unrealistic bar for being considered faithful. We call for discarding the binary notion of faithfulness in favor of a more graded one, which we believe will be of greater practical utility.	579476d19566efc842929ea6bdd18ab760c8cfa2	Interpretability and Analysis	419	faithfulness, novel guidelines, explainability, interpretability	faithfulness, novel guidelines, explainability, interpretability
367	main.2644	CrowS-Pairs: A Challenge Dataset for Measuring Social Biases in Masked Language Models	Interpretability and Analysis of Models for NLP	EMNLP	2020	10.18653/v1/2020.emnlp-main.154	Pretrained language models, especially masked language models (MLMs) have seen success across many NLP tasks. However, there is ample evidence that they use the cultural biases that are undoubtedly present in the corpora they are trained on, implicitly creating harm with biased representations. To measure some forms of social bias in language models against protected demographic groups in the US, we introduce the Crowdsourced Stereotype Pairs benchmark (CrowS-Pairs). CrowS-Pairs has 1508 examples that cover stereotypes dealing with nine types of bias, like race, religion, and age. In CrowS-Pairs a model is presented with two sentences: one that is more stereotyping and another that is less stereotyping. The data focuses on stereotypes about historically disadvantaged groups and contrasts them with advantaged groups. We find that all three of the widely-used MLMs we evaluate substantially favor sentences that express stereotypes in every category in CrowS-Pairs. As work on building less biased models advances, this dataset can be used as a benchmark to evaluate progress.	645bd6eadc247989abc5e0b0aa0be79ec8b11ea6	Interpretability and Analysis	418	social bias, novel dataset, bias detection, evaluation	social bias, novel dataset, bias detection, evaluation
1895		Transformer Feed-Forward Layers Are Key-Value Memories	Interpretability and Analysis of Models for NLP	EMNLP	2021	10.18653/v1/2021.emnlp-main.446	Feed-forward layers constitute two-thirds of a transformer model’s parameters, yet their role in the network remains under-explored. We show that feed-forward layers in transformer-based language models operate as key-value memories, where each key correlates with textual patterns in the training examples, and each value induces a distribution over the output vocabulary. Our experiments show that the learned patterns are human-interpretable, and that lower layers tend to capture shallow patterns, while upper layers learn more semantic ones. The values complement the keys’ input patterns by inducing output distributions that concentrate probability mass on tokens likely to appear immediately after each pattern, particularly in the upper layers. Finally, we demonstrate that the output of a feed-forward layer is a composition of its memories, which is subsequently refined throughout the model’s layers via residual connections to produce the final output distribution.	4a54d58a4b20e4f3af25cea3c188a12082a95e02	Interpretability and Analysis	362	FFN analysis, novel metaphor, representational analysis, MLP analysis, key-value memories	FFN analysis, novel metaphor, representational analysis, MLP analysis, key-value memories
3403	475	Red Teaming Language Models with Language Models	Language Modeling and Analysis of Language Models	EMNLP	2022	10.18653/v1/2022.emnlp-main.225	Language Models (LMs) often cannot be deployed because of their potential to harm users in hard-to-predict ways. Prior work identifies harmful behaviors before deployment by using human annotators to hand-write test cases. However, human annotation is expensive, limiting the number and diversity of test cases. In this work, we automatically find cases where a target LM behaves in a harmful way, by generating test cases (“red teaming”) using another LM. We evaluate the target LM’s replies to generated test questions using a classifier trained to detect offensive content, uncovering tens of thousands of offensive replies in a 280B parameter LM chatbot. We explore several methods, from zero-shot generation to reinforcement learning, for generating test cases with varying levels of diversity and difficulty. Furthermore, we use prompt engineering to control LM-generated test cases to uncover a variety of other harms, automatically finding groups of people that the chatbot discusses in offensive ways, personal and hospital phone numbers generated as the chatbot’s own contact info, leakage of private training data in generated text, and harms that occur over the course of a conversation. Overall, LM-based red teaming is one promising tool (among many needed) for finding and fixing diverse, undesirable LM behaviors before impacting users.	5d49c7401c5f2337c4cc88d243ae39ed659afe64	Interpretability and Analysis	343	red teaming, adversarial evaluation, privacy, bias evaluation, harms	red teaming, adversarial evaluation, privacy, bias evaluation, harms
