response_id	text	vagrant_themes	marius_themes
14	A complete theoretical description of deep neural networks	theoretical description	theory
64	Actionability and ground truth	actionability, ground truth	actionability, ground truth
106	Although this area is gathering a large following, I feel like there's a lack of community/joint gatherings to discuss this work in academic settings (most of the discussion I see is largely in industry lab events). I've only just started working on these topics (but have been in the NLP community for a while) and it would be nice to have the same forums that the general NLP community has (e.g., conferences, workshops, places to speak about this work).	lack of community / conferences	lack of community
48	Analysis of harder, longer, real world examples Analysis by use - more exploration of models behaviour without ties to safety 	realistic evaluation, use beyond safety	real world examples, use beyond safety
17	Clearer pathways to algorithmic insight, and learning about what is critical to a problem (e.g. what are the critical characteristics of learning language?), more work on using it for debugging applications. 	debugging, clarity, interdisciplinarity	debugging, clarity, interdisciplinarity
122	General truths about what models tend to do or should learn are somewhat lacking. There are some examples of these things, but in general I think the focus should be on climbing the right hill towards a higher level understanding instead of focusing on interesting individual behaviors. That is what the field currently looks like, but I think that is fine; one way to get the higher level understanding is by building up a catalogue of these interesting 'smaller' findings. I think in the near future we will be able to synthesize these into broader lessons about deep learning that have far reaching applications for how we train models and use them.  I am also interested in the future of weight based analyses. E.g., predicting how a model might treat an input without running the model (with respect to targeted, specific behaviors)	weight-based predictions without running, higher-level / holistic / unified understanding, goal-setting	big picture / lack of synthesis, goal-setting, predicting model behaviour
82	Ground truth is often hard to find; falsifiable hypotheses are important too.	ground truth, falsifiable hypotheses	ground truth, clear hypotheses needed
91	holistic understanding & interactive interpretability 	higher-level / holistic / unified understanding, interactivity	big picture / lack of synthesis, interactivity
53	How can we utilize or measure the utility of an explanation, besides just providing trust and accountability. How can we benefit both humans and AI models by drawing insights from explanations/interpretations	use beyond safety, actionability, utility, model improvements, benefit to humans	utility, model improvements, benefit to humans, use beyond safety, actionability
93	How to connect the conceptual/empirical/theoretical interpretability understandings/findings to actions of improving model architecture, training and error analysis. The gap is very big, and very task/situation dependent. Because of the gap, researches are mostly focused on challenging and proposing new attribution, probing, intervention techniques, but reluctant to make real leverage of those interpretability toolbox for other topics in NLP and ML, e.g. improving generalization ability, finetuning and data selection.	actionability, model improvements	model improvements, actionability
3	Human evaluation of explanations	human evaluation / user studies	human evaluation
62	I don't know. I could not find an appropriate direction that can enable interpretability breakthrough that influence non-interpretability work. I think the most pressing area is to work on educating and clarifying to stakeholders (regulators, lawmakers) what interpretability can't provide in the near and medium term.	utility, limits of interpretability, better stakeholder communication	limits of interpretability, educating general public, utility
41	I find this research discipline lacks unification. Many people have good ideas and show interesting results, but very little work is done to unify these different points of view	higher-level / holistic / unified understanding	big picture / lack of synthesis
15	I think that the missing element would be predicting the model behavior during generation, out of the current state (parameters, contextual embeddings). Once we learn something about the “future”, this will mean we actually understand something (sorry for being a bit vague).	weight-based predictions without running	predicting model behaviour
36	I think to some extent tooling/research to allow for incorporation of such techniques for feedback and guidance of ML models both during development and during inference time.	tooling	tooling
18	I would like to see more model analysis and interpretability researchers collaborate with domain experts so that they can leverage models as proxies of Scientific natural phenomena	interdisciplinarity	collaborations with domain experts
45	If we could find more structure! 	structure	structure
99	less speculative claims that might be misleading, instead draw only conclusions where experiments provide proof	less speculation	more rigor 
75	Level of confidence: analysis and interpretability can give insight into trends, but none of our methods can achieve high levels of confidence that an LLM will *never* do something, e.g. generate toxic content, or be deceptive or power seeking. This is of course a very difficult problem, but our inability to achieve any kind of guarantees could lead to catastrophic or existential risk when models become more capable than humans at most cognitive tasks.	guarantees	guarantees 
19	Many works in the field are limited to a particular family of models, or even a single model and are hard to extrapolate to more general language modelling (if at all possible).	higher-level / holistic / unified understanding	higher-level / holistic / unified understanding
72	Model evaluation in real life situations (not limited to curated datasets typically used in competitions)	realistic evaluation	real world data
